Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
267;Sikkim;2008;20;4;0;19;0;5;0;590000;;;;;;;;;;;
268;Tamil Nadu;2008;573;1160;207;1705;974;1648;0;69224700;;;;;;;;;;;
269;Telangana;2008;;;;;;;;;;;;;;;;;;;
270;Tripura;2008;204;110;16;346;4;735;0;3531500;;;;;;;;;;;
271;Uttar Pradesh;2008;1871;4439;2237;2955;3374;8312;0;189727800;;;;;;;;;;;
272;Uttarakhand;2008;87;222;73;120;306;340;0;9606900;;;;;;;;;;;
273;West Bengal;2008;2263;1907;451;2396;94;13663;5;87946000;;;;;;;;;;;
274;Andaman & Nicobar;2008;12;13;2;24;3;26;0;373500;;;;;;;;;;;
275;Chandigarh;2008;20;42;3;19;2;49;0;1008800;;;;;;;;;;;
276;Dadra and Nagar Haveli and Daman and Diu;2008;6;12;0;6;1;9;0;306800;;;;;;;;;;;
277;Delhi;2008;466;1136;129;611;130;1387;0;15906900;;;;;;;;;;;
278;Lakshadweep;2008;2;1;0;0;0;1;0;63100;;;;;;;;;;;
279;Puducherry;2008;8;9;2;65;21;12;0;1165800;;;;;;;;;;;
280;Andhra Pradesh;2009;1188;1526;546;5147;3520;11297;0;77707448;;;;;;;;;;;
281;Arunachal Pradesh;2009;59;28;0;58;6;13;0;1326800;;;;;;;;;;;
282;Assam;2009;1631;2092;170;1342;10;4398;1;30296000;;;;;;;;;;;
283;Bihar;2009;929;1986;1295;726;12;2532;31;99807720;;;;;;;;;;;
284;Chhattisgarh;2009;976;229;128;1598;152;893;0;24602800;;;;;;;;;;;
285;Goa;2009;47;22;3;37;10;21;0;1436800;;;;;;;;;;;
286;Gujarat;2009;433;1162;24;727;114;5506;0;58486200;;;;;;;;;;;
287;Haryana;2009;603;659;281;451;605;2617;0;24509800;;;;;;;;;;;
288;Himachal Pradesh;2009;183;122;1;318;37;284;0;6707600;;;;;;;;;;;
289;Jammu & Kashmir;2009;237;825;12;972;371;196;0;12061600;;;;;;;;;;;
290;Jharkhand;2009;719;517;295;276;83;710;6;31779600;;;;;;;;;;;
291;Karnataka;2009;509;408;264;2186;64;3185;2;59446200;;;;;;;;;;;
292;Kerala;2009;568;173;20;2540;395;4007;0;33093000;;;;;;;;;;;
293;Madhya Pradesh;2009;2998;841;858;6307;728;3983;1;70171200;;;;;;;;;;;
294;Maharashtra;2009;1483;926;341;3196;1099;7681;0;109275000;;;;;;;;;;;
295;Manipur;2009;31;97;0;39;2;25;0;2743600;;;;;;;;;;;
296;Meghalaya;2009;112;26;0;72;1;24;1;2837400;;;;;;;;;;;
297;Mizoram;2009;83;0;0;61;1;4;0;1055400;;;;;;;;;;;
298;Nagaland;2009;22;10;0;11;0;0;0;1981200;;;;;;;;;;;
299;Odisha;2009;1023;799;384;2697;210;2047;1;40940200;;;;;;;;;;;
300;Punjab;2009;511;513;126;319;33;1061;0;27066200;;;;;;;;;;;
301;Rajasthan;2009;1519;2310;436;2485;24;10371;0;66139800;;;;;;;;;;;
302;Sikkim;2009;18;6;0;10;0;6;0;597000;;;;;;;;;;;
303;Tamil Nadu;2009;596;1133;194;1242;501;1460;0;70198800;;;;;;;;;;;
304;Telangana;2009;;;;;;;;;;;;;;;;;;;
305;Tripura;2009;190;92;29;384;5;815;0;3579000;;;;;;;;;;;
306;Uttar Pradesh;2009;1759;5078;2232;2782;2524;8566;0;193089200;;;;;;;;;;;
307;Uttarakhand;2009;111;247;94;119;249;361;0;9766600;;;;;;;;;;;
308;West Bengal;2009;2336;2187;506;1942;108;16112;5;89056000;;;;;;;;;;;
309;Andaman & Nicobar;2009;18;14;1;30;7;21;0;376000;;;;;;;;;;;
310;Chandigarh;2009;29;36;2;26;2;51;0;1024200;;;;;;;;;;;
311;Dadra and Nagar Haveli and Daman and Diu;2009;5;9;0;6;2;6;0;319200;;;;;;;;;;;
312;Delhi;2009;469;1655;141;552;118;1283;0;16200600;;;;;;;;;;;
313;Lakshadweep;2009;1;0;0;0;0;0;0;63400;;;;;;;;;;;
314;Puducherry;2009;1;13;0;53;16;10;0;1193200;;;;;;;;;;;
315;Andhra Pradesh;2010;1362;1531;588;4634;4562;12080;0;77894629;;;;;;;;;;;
316;Arunachal Pradesh;2010;47;46;0;84;1;12;0;1355400;;;;;;;;;;;
317;Assam;2010;1721;2767;175;1400;20;5410;0;30751000;;;;;;;;;;;
318;Bihar;2010;795;2569;1257;534;16;2271;8;101908810;;;;;;;;;;;
319;Chhattisgarh;2010;1012;279;115;1706;182;861;2;25073900;;;;;;;;;;;
320;Goa;2010;36;18;1;36;16;17;0;1447900;;;;;;;;;;;
